Company Name,Year Established,No. of employees,Address,Contact Info
Tripeur,2015,20,"#205, SA Arcade, 4th Floor, 24th Main, JP Nagar 5th Phase, Bengaluru – 560078, Karnataka, India., Karnataka",09845101570
devi travels,2017,5,"#713/A, Shop no 1,3rd main 5th cross Kesare,  R.S Naidunagar , Mysuru-07, Karnataka",devi travels
Bharat Taxi,2009,30,"www.bharattaxi.com, Uttar Pradesh",Raj Kishor Kannoujea
Trust Travel & Tours Marine & Corporate Travel Since 1984,2004,25,"Madhuban Building, 23 Cochin Street, 323 S.B.S. Road, Fort, Mumbai – 400001., Maharashtra",TRUST N TRAVEL
Orange Tours and Travels,2011,500,"Plot No : 132, Near Suchitra Bus Stop,Suchitra, Jeedimetla Village Hyderabad, Telangana, Pin: 500055, Telangana",Sri M.Sunil kumar
"River Rafting in Rishikesh, adventure camps, River Rafting Packages",2004,25,"NH 58, NIM Beach Road Tapovan, Near Hotel Narayana Palace.249201, JAMMU KASHIMIR",rewildindia
"Chadar Trek, Frozen River Trek, Zanskar Trek & Winter Treks India",2004,5,"Nh 58,nim Beach Road Tapovan, Near Hotel Narayana Palace. Uttarakhand 249137, JAMMU KASHIMIR",mychadartrek
Book the Journey,2017,4,"189, Dda Flat, Pocket-9, Nasirpur, Sector-1a, Dwarka, DELHI",RP Singh
Sv Cabs,2000,10,"#82/7A 4th cross SBM Colony Mathikere Bangalore, Karnataka",Venkatesh
India Tourist Taxi Car Rental Service,2016,50,"132B/28, First Floor Anant Raj Plaza Near Bank of Baroda, Civil Lines,, Allahabad, Uttar Pradesh 211001, Uttar Pradesh",Shubham Verma
ziphop,2014,60,"1st Block, Kormangala, http://www.ziphop.in/, Karnataka",ziphop
India Tourist Taxi,2016,2016,"132B/28, First Floor Anant Raj Plaza Near Bank of Baroda, Civil Lines,, Allahabad, Uttar Pradesh 211001, UP",Shubham Verma
Ahilya Car Rental,2000,20,"141 Suyash Vihar B/H Hotel Fortune Landmark Vijay Nagar, Madhya pradesh",Ahilya Car Rental
cloud18holidays,2000,50,"Kamal Bhawan, Sindhu Nagar, Krishna Nagar, Alambagh, Near Shasho Veer Mandir, Lucknow- India, Uttar Pradesh",cloud 18
PrivateHolidays,2014,20,"No. 3 Domlur Service Road, Karnataka",PrivateHolidays
comfortcarz,2014,15,"Off No. 6A, 2nd Floor, Surya Garden,, Peelamedu, Coimbatore, Tamil Nadu 641004, Tamil Nadu",comfortcars
Groupfarez,2017,20,"# 376 | 3rd Floor | Aggarwal Cyber Plaza-II NSP | Pitampura, New Delhi",Group Farez
Tixilo Travel Pvt ltd,2014,5,"60 Karni Nagar Basni 1st, Rajasthan",Yashdeep
Jeremiah Holiday,2017,2018,"Near 1st Class Judicial Magistrate Court,TMV Tower,Angamaly, Kerala > Ernakulum",Soji joesph
Adit Tours,2016,20,"202 Bestech Chambers B Block Sushant Lok 1, Haryana",Amit Thakur
MAMA TRAVELS,2015,10,"CHAPEL ROAD HOUNSLOW, GREATER LONDON",MAMA TRAVELS
AwadhTrip,2016,10,"2nd Floor, S-2/639-2, Varuna Vihar Colony, Sikraul, Varanasi, Uttar Pradesh",Rajeshwar Rao
SHRI BHAKTI TAXI SERVICES,2008,10,"4, shree satya society, near over bridge, Chandlodia Road, Chandlodia, Ahmedabad, Gujarat 380061, Gujarat",Chirag Patel
Dream World Travels in delhi,2014,5,"JG -2/771-C, Near CRPF Camp, Vikas Puri, New Delhi: 110018, Delhi",+919599135952
welovealmaty,2016,100,"Suite 202, Mohta building 4 Bhikaji Cama Place, Delhi",Welovealmaty
Himachal Travel Experts,2014,10,"Rangri-Kanyal Road, Manali, HP, Himachal Pradesh",Himachal Travel Experts
Infinite Journeys,2000,10,"103, Mahadkar Chambers, Karve Road, Above Papa John's Pizza, Kothrud, Jhala Co-Op Housing Society Kothrud,, maharastra",Infinite Journeys
Awadh Trip,2016,8,"2nd Floor, S-2/639-2, Varuna Vihar Colony, Sikrail, Varanasi, Uttar Pradesh",Swarnlata
Visvas India,2015,50,"No: 205, Mezzanine Floor, JSA Towers, Double Road, Indiranagar 1st Stage,, Karnataka",Shivakumar Balakrishnan
Honeydew Travel,2010,15,"""H 903, Roystonea Building, Near Seasons Mall, Magarpatta City, Hadapsar, Pune"", Maharashtra",Mangesh Gujar
Tirupathi SHRI BALAJI TRAVELS,2013,12,"No.12, Thangal Street, Virugambakkam, Near Koyambedu, Chennai - 600 092., Tamilnadu",09884094210
Shraddha Rent A Car,2000,10,"66 ratanlok colony vijay nagar indore, madhya pradesh",Mr. Santosh
funseasonal tours and travels,2015,50,"faridabad, Haryana",anshika gupta
Manali to Delhi taxi service,2000,200,"Bestway Cabs Services PVT LTD ,SCO No 1072-73,Cabin No 8, Sector 22-B, Chandigarh",Bestway Cabs
KTC India Pvt Ltd,1943,50,"RZ-A/96, Road No.6, Street No.9, Mahipalpur Extension, Delhi",KTC India
Mehra Tour & Travels,2008,10,"Plot no 3036, Chandigarh",Jatin kumar
Krishna Krishna Travels,2015,4,"Shop No. 27, Ganga Puri Road, Opp Durga Mandir, Panipat, Haryana",Rohit Makhija
eKashmir Tourism,2005,10,"C-257, Peeragarhi, Paschim Vihar, Delhi",eKashmir Tourism
Vacation Trip India,2015,10,"B-90, Ground Floor,Amba Mata Scheme,, Rajasthan",Jitendra
DriversKart – Book your Driver Online,2015,50,"No: ¼, Thiru Swamy Naicker Complex, 2nd floor, OMR, Karapakkam, Tamil Nadu",Srijan Sharma
TravelRoach,2015,10,"Idea Pad, CIIE IIM Ahmedabad,,, Gujarat",Namita Badwal
Nepal Trekking Plan,2014,12,"Baroda House, New Delhi",Hari Shrestha
Shanker Travels,1985,250,"Shop No. 10, 111 A / 6, G.T. Road, Lane Adjacent To Hotel Bliss, Kanpur, Uttar Pradesh 208012, Uttar Pradesh",Aanckur Anshwani
My Taxi India,2008,100,"I-Tech Park, Sector-49, Sohna Road, Gurgaon, Haryana",Anshuman Mihir
